node_id,text,is_semantic_human,AI_Suggest,EXP-A(Regex),EXP-B(Embed),EXP-C(Fusion),note
doc_chuong-iii_muc-1_dieu-27_khoan-2_p1405,Nhóm người sử dụng đất mà có chung quyền sử dụng đất thì có các quyền và nghĩa vụ như sau:,,0,0,0,0,
doc_chuong-iii_muc-1_dieu-27_khoan-2_diem-a_p1496,"Nhóm người sử dụng đất bao gồm thành viên hộ gia đình, cá nhân thì có quyền và nghĩa vụ như quyền và nghĩa vụ của cá nhân theo quy định của Luật này.
Trường hợp trong nhóm người sử dụng đất có thành viên là tổ chức kinh tế thì có quyền và nghĩa vụ như quyền và nghĩa vụ của tổ chức kinh tế theo quy định của Luật này;",,1,0,0,0,
doc_chuong-iii_muc-1_dieu-27_khoan-2_diem-b_p1814,"Trường hợp nhóm người sử dụng đất mà quyền sử dụng đất phân chia được theo phần cho từng thành viên trong nhóm, nếu từng thành viên của nhóm muốn thực hiện quyền đối với phần quyền sử dụng đất của mình thì phải thực hiện đăng ký biến động hoặc tách thửa theo quy định, làm thủ tục cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất và được thực hiện quyền và nghĩa vụ của người sử dụng đất theo quy định của Luật này.
Trường hợp quyền sử dụng đất của nhóm người sử dụng đất không phân chia được theo phần thì các thành viên cùng nhau thực hiện hoặc ủy quyền cho người đại diện để thực hiện quyền và nghĩa vụ của nhóm người sử dụng đất.",,1,0,0,0,
doc_chuong-iii_muc-1_dieu-27_khoan-3_p2476,"Việc công chứng, chứng thực hợp đồng, văn bản thực hiện các quyền của người sử dụng đất được thực hiện như sau:",,0,0,0,0,
doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-a_p2588,"Hợp đồng chuyển nhượng, tặng cho, thế chấp, góp vốn bằng quyền sử dụng đất, quyền sử dụng đất và tài sản gắn liền với đất phải được công chứng hoặc chứng thực, trừ trường hợp quy định tại điểm b khoản này;",,1,1,0,1,
doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-b_p2794,"Hợp đồng cho thuê, cho thuê lại quyền sử dụng đất, quyền sử dụng đất và tài sản gắn liền với đất, hợp đồng chuyển đổi quyền sử dụng đất nông nghiệp; hợp đồng chuyển nhượng, góp vốn bằng quyền sử dụng đất, quyền sử dụng đất và tài sản gắn liền với đất, tài sản gắn liền với đất mà một bên hoặc các bên tham gia giao dịch là tổ chức hoạt động kinh doanh bất động sản được công chứng hoặc chứng thực theo yêu cầu của các bên;",,0,0,0,0,
doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-c_p3217,"Văn bản về thừa kế quyền sử dụng đất, quyền sử dụng đất và tài sản gắn liền với đất được công chứng hoặc chứng thực theo quy định của pháp luật về dân sự;",,1,0,0,0,
doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-d_p3372,"Việc công chứng, chứng thực thực hiện theo quy định của pháp luật về công chứng, chứng thực.",,1,0,1,1,
doc_chuong-iii_muc-1_dieu-28_p3465,,,0,0,1,1,
doc_chuong-iii_muc-1_dieu-28_khoan-1_p3497,Người nhận quyền sử dụng đất được quy định như sau:,,0,0,1,1,
doc_chuong-iii_muc-1_dieu-28_khoan-1_diem-a_p3549,Cá nhân được nhận chuyển đổi quyền sử dụng đất quy định tại điểm b khoản 1 Điều 37 của Luật này;,,1,1,0,1,
doc_chuong-iii_muc-1_dieu-28_khoan-1_diem-b_p3646,"Tổ chức kinh tế, cá nhân được nhận chuyển nhượng quyền sử dụng đất;",,0,0,0,0,
doc_chuong-iii_muc-1_dieu-28_khoan-1_diem-c_p3714,"Tổ chức kinh tế có vốn đầu tư nước ngoài, người gốc Việt Nam định cư ở nước ngoài được phép nhập cảnh vào Việt Nam được nhận chuyển nhượng quyền sử dụng đất trong khu công nghiệp, cụm công nghiệp, khu công nghệ cao;",,0,0,0,0,
doc_chuong-iii_muc-1_dieu-28_khoan-1_diem-d_p3930,Tổ chức kinh tế có vốn đầu tư nước ngoài được nhận chuyển nhượng vốn đầu tư là giá trị quyền sử dụng đất theo quy định của Chính phủ;,,1,0,0,0,
doc_chuong-iii_muc-1_dieu-28_khoan-1_diem-d_p4064,"Tổ chức kinh tế, tổ chức kinh tế có vốn đầu tư nước ngoài nhận góp vốn bằng quyền sử dụng đất;",,0,0,0,0,
doc_chuong-iii_muc-1_dieu-28_khoan-1_diem-d_p4162,"Tổ chức trong nước, cá nhân, cộng đồng dân cư được nhận tặng cho quyền sử dụng đất theo quy định của Luật này;",,1,0,0,0,
doc_chuong-iii_muc-1_dieu-28_khoan-1_diem-g_p4273,"Tổ chức trong nước, cá nhân, cộng đồng dân cư được nhận thừa kế quyền sử dụng đất;",,0,0,0,0,
doc_chuong-iii_muc-1_dieu-28_khoan-1_diem-h_p4356,"Người gốc Việt Nam định cư ở nước ngoài được phép nhập cảnh vào Việt Nam được mua, thuê mua nhà ở gắn liền với quyền sử dụng đất ở, nhận quyền sử dụng đất ở trong dự án phát triển nhà ở; nhận thừa kế quyền sử dụng đất ở và các loại đất khác trong cùng thửa đất có nhà ở theo quy định của pháp luật về dân sự; nhận tặng cho nhà ở gắn liền với quyền sử dụng đất ở từ những người thuộc hàng thừa kế theo quy định của pháp luật về dân sự;",,1,0,0,0,
doc_chuong-iii_muc-1_dieu-28_khoan-1_diem-i_p4791,"Tổ chức trong nước, cá nhân, cộng đồng dân cư, tổ chức tôn giáo, tổ chức tôn giáo trực thuộc, người gốc Việt Nam định cư ở nước ngoài được Nhà nước giao đất; tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước giao đất để thực hiện các dự án đầu tư xây dựng nhà ở để bán hoặc để bán kết hợp cho thuê;",,0,0,0,0,
doc_chuong-iii_muc-1_dieu-28_khoan-1_diem-l_p5095,"Tổ chức kinh tế, đơn vị sự nghiệp công lập, tổ chức tôn giáo, tổ chức tôn giáo trực thuộc, cá nhân, người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài, tổ chức nước ngoài có chức năng ngoại giao được Nhà nước cho thuê đất;",,0,0,1,1,
doc_chuong-iii_muc-1_dieu-28_khoan-1_diem-m_p5350,"Tổ chức trong nước, cá nhân, cộng đồng dân cư, tổ chức tôn giáo, tổ chức tôn giáo trực thuộc được Nhà nước công nhận quyền sử dụng đất đối với đất đang được sử dụng ổn định;",,0,0,0,0,
doc_chuong-iii_muc-1_dieu-28_khoan-1_diem-n_p5524,"Tổ chức trong nước, cá nhân, người gốc Việt Nam định cư ở nước ngoài được phép nhập cảnh vào Việt Nam, tổ chức kinh tế có vốn đầu tư nước ngoài được nhận quyền sử dụng đất theo kết quả hòa giải thành về tranh chấp đất đai được Ủy ban nhân dân cấp có thẩm quyền công nhận; thỏa thuận trong hợp đồng thế chấp để xử lý nợ; quyết định của cơ quan nhà nước có thẩm quyền về giải quyết tranh chấp đất đai, khiếu nại, tố cáo về đất đai, bản án, quyết định của Tòa án, quyết định thi hành án của cơ quan thi hành án đã được thi hành; quyết định hoặc phán quyết của Trọng tài thương mại Việt Nam; văn bản công nhận kết quả đấu giá quyền sử dụng đất phù hợp với pháp luật; văn bản về việc chia, tách quyền sử dụng đất phù hợp với pháp luật đối với nhóm người sử dụng đất mà có chung quyền sử dụng đất;",,0,0,1,1,
doc_chuong-iii_muc-1_dieu-28_khoan-1_diem-o_p6316,"Cộng đồng dân cư, tổ chức tôn giáo, tổ chức tôn giáo trực thuộc được nhận quyền sử dụng đất theo kết quả hòa giải thành về tranh chấp đất đai được Ủy ban nhân dân cấp có thẩm quyền công nhận; quyết định của cơ quan nhà nước có thẩm quyền về giải quyết tranh chấp đất đai, khiếu nại, tố cáo về đất đai, bản án, quyết định của Tòa án, quyết định thi hành án của cơ quan thi hành án đã được thi hành; quyết định hoặc phán quyết của Trọng tài thương mại Việt Nam;",,0,0,0,0,
doc_chuong-iii_muc-1_dieu-28_khoan-1_diem-a_p6776,"Tổ chức trong nước là pháp nhân mới được hình thành thông qua việc chia, tách, sáp nhập, hợp nhất, chuyển đổi mô hình tổ chức theo quyết định của cơ quan, tổ chức có thẩm quyền hoặc văn bản về việc chia, tách, sáp nhập, hợp nhất, chuyển đổi mô hình tổ chức của tổ chức kinh tế phù hợp với pháp luật được nhận quyền sử dụng đất từ các tổ chức là pháp nhân bị chia, tách, sáp nhập, hợp nhất, chuyển đổi.",,0,0,1,1,
doc_chuong-iii_muc-1_dieu-28_khoan-2_p7178,"Tổ chức trong nước, cá nhân được nhận chuyển nhượng quyền sử dụng đất theo quy định của pháp luật không phụ thuộc vào nơi cư trú, nơi đóng trụ sở, trừ trường hợp quy định tại khoản 8 Điều 45 và Điều 48 của Luật này.",,1,1,0,1,
doc_chuong-iii_muc-1_dieu-28_khoan-3_p7394,"Đối với khu vực hạn chế tiếp cận đất đai thì việc nhận quyền sử dụng đất quy định tại khoản 1 và khoản 2 Điều này thực hiện theo trình tự, thủ tục do Chính phủ quy định.",,1,1,1,1,
doc_chuong-iii_muc-1_dieu-29_p7565,,,0,0,1,1,
doc_chuong-iii_muc-1_dieu-29_khoan-1_p7605,"Quyền đối với thửa đất liền kề bao gồm quyền về lối đi; cấp nước, thoát nước; tưới nước, tiêu nước trong canh tác; cấp khí ga; lắp đường dây tải điện, thông tin liên lạc và các nhu cầu cần thiết khác theo quy định của pháp luật.",,1,0,0,0,
doc_chuong-iii_muc-1_dieu-29_khoan-2_p7834,"Việc xác lập, thay đổi hoặc chấm dứt quyền đối với thửa đất liền kề thực hiện theo quy định của pháp luật về dân sự; đồng thời phải thực hiện đăng ký theo quy định tại Điều 133 của Luật này đối với trường hợp quyền về lối đi; cấp nước, thoát nước; tưới nước, tiêu nước trong canh tác.",,1,1,0,1,
doc_chuong-iii_muc-1_dieu-30_p8119,,,0,0,1,1,
doc_chuong-iii_muc-1_dieu-30_khoan-1_p8171,"Tổ chức kinh tế, đơn vị sự nghiệp công lập, cá nhân, người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài đang được Nhà nước cho thuê đất thu tiền thuê đất hằng năm nhưng thuộc trường hợp được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê theo quy định của Luật này được lựa chọn chuyển sang thuê đất trả tiền thuê đất một lần cho thời gian thuê đất còn lại và phải xác định lại giá đất để tính tiền thuê đất tại thời điểm có quyết định cho phép chuyển sang thuê đất theo hình thức trả tiền thuê đất một lần cho cả thời gian thuê theo quy định của Luật này.",,1,0,0,0,
doc_chuong-iii_muc-1_dieu-30_khoan-2_p8782,"Tổ chức kinh tế, cá nhân, người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài đang được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê được lựa chọn chuyển sang thuê đất thu tiền thuê đất hằng năm. Tiền thuê đất đã nộp được khấu trừ vào tiền thuê đất hằng năm phải nộp theo quy định của Chính phủ.",,1,0,0,0,
doc_chuong-iii_muc-1_dieu-30_khoan-3_p9133,"Đơn vị sự nghiệp công lập được Nhà nước giao đất không thu tiền sử dụng đất mà có nhu cầu sử dụng một phần hoặc toàn bộ diện tích được giao để sản xuất, kinh doanh, cung cấp dịch vụ thì được lựa chọn chuyển sang hình thức Nhà nước cho thuê đất thu tiền thuê đất hằng năm đối với phần diện tích đó.",,0,0,0,0,
doc_chuong-iii_muc-1_dieu-31_p9431,,,0,0,1,1,
doc_chuong-iii_muc-1_dieu-31_khoan-1_p9477,"Sử dụng đất đúng mục đích, đúng ranh giới thửa đất, đúng quy định về sử dụng độ sâu trong lòng đất và chiều cao trên không, bảo vệ các công trình công cộng trong lòng đất và tuân thủ quy định khác của pháp luật có liên quan.",,0,0,1,1,
doc_chuong-iii_muc-1_dieu-31_khoan-2_p9703,"Thực hiện kê khai đăng ký đất đai; thực hiện đầy đủ thủ tục khi chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, thừa kế, tặng cho quyền sử dụng đất, thế chấp, góp vốn bằng quyền sử dụng đất theo quy định của pháp luật.",,1,0,0,0,
doc_chuong-iii_muc-1_dieu-31_khoan-3_p9925,Thực hiện nghĩa vụ tài chính về đất đai theo quy định của pháp luật.,,1,0,1,1,
doc_chuong-iii_muc-1_dieu-31_khoan-4_p9994,"Thực hiện biện pháp bảo vệ đất; xử lý, cải tạo và phục hồi đất đối với khu vực đất bị ô nhiễm, thoái hóa do mình gây ra.",,0,0,0,0,
doc_chuong-iii_muc-1_dieu-31_khoan-5_p10115,"Tuân thủ quy định về bảo vệ môi trường, không làm tổn hại đến tài sản và lợi ích hợp pháp của người sử dụng đất có liên quan.",,0,0,1,1,
doc_chuong-iii_muc-1_dieu-31_khoan-6_p10241,Tuân thủ quy định của pháp luật về việc tìm thấy vật trong lòng đất.,,1,0,1,1,
doc_chuong-iii_muc-1_dieu-31_khoan-7_p10310,Bàn giao lại đất khi Nhà nước có quyết định thu hồi đất theo quy định của pháp luật.,,1,0,0,0,
doc_chuong-iii_muc-2_dieu-32_p10503,,,0,0,1,1,
doc_chuong-iii_muc-2_dieu-32_khoan-1_p10650,"Tổ chức trong nước, tổ chức tôn giáo, tổ chức tôn giáo trực thuộc được Nhà nước giao đất không thu tiền sử dụng đất có quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này.",,1,1,0,1,
doc_chuong-iii_muc-2_dieu-32_khoan-2_p10839,"Tổ chức trong nước, tổ chức tôn giáo, tổ chức tôn giáo trực thuộc được Nhà nước giao đất không thu tiền sử dụng đất không có quyền chuyển đổi, chuyển nhượng, tặng cho, cho thuê quyền sử dụng đất, thế chấp, góp vốn bằng quyền sử dụng đất.",,0,0,0,0,
doc_chuong-iii_muc-2_dieu-33_p11077,,,0,0,1,1,
doc_chuong-iii_muc-2_dieu-33_khoan-1_p11236,"Tổ chức kinh tế được Nhà nước giao đất có thu tiền sử dụng đất, cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê có quyền và nghĩa vụ sau đây:",,0,0,0,0,
doc_chuong-iii_muc-2_dieu-33_khoan-1_diem-a_p11392,Quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này;,,1,1,1,1,
doc_chuong-iii_muc-2_dieu-33_khoan-1_diem-b_p11462,"Chuyển nhượng quyền sử dụng đất, tài sản thuộc sở hữu của mình gắn liền với đất;",,0,0,0,0,
doc_chuong-iii_muc-2_dieu-33_khoan-1_diem-c_p11543,"Cho thuê quyền sử dụng đất, tài sản thuộc sở hữu của mình gắn liền với đất đối với trường hợp được Nhà nước giao đất có thu tiền sử dụng đất; cho thuê lại quyền sử dụng đất, tài sản thuộc sở hữu của mình gắn liền với đất đối với trường hợp được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê;",,1,0,0,0,
doc_chuong-iii_muc-2_dieu-33_khoan-1_diem-d_p11859,"Tặng cho quyền sử dụng đất cho Nhà nước; tặng cho quyền sử dụng đất cho cộng đồng dân cư để xây dựng các công trình phục vụ lợi ích chung của cộng đồng hoặc mở rộng đường giao thông theo quy hoạch; tặng cho quyền sử dụng đất để làm nhà tình nghĩa, nhà tình thương, nhà đại đoàn kết gắn liền với đất theo quy định của pháp luật;",,1,0,0,0,
doc_chuong-iii_muc-2_dieu-33_khoan-1_diem-d_p12187,"Thế chấp quyền sử dụng đất, tài sản thuộc sở hữu của mình gắn liền với đất tại các tổ chức tín dụng được phép hoạt động tại Việt Nam, tại tổ chức kinh tế khác hoặc cá nhân theo quy định của pháp luật;",,1,0,0,0,
doc_chuong-iii_muc-2_dieu-33_khoan-1_diem-d_p12391,"Góp vốn bằng quyền sử dụng đất, tài sản thuộc sở hữu của mình gắn liền với đất với tổ chức trong nước, cá nhân, người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài theo quy định của pháp luật.",,1,0,1,1,
doc_chuong-iii_muc-2_dieu-33_khoan-2_p12614,"Đơn vị sự nghiệp công lập được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê để đầu tư xây dựng kinh doanh kết cấu hạ tầng khu công nghiệp, cụm công nghiệp quy định tại khoản 2 Điều 202 của Luật này thì có quyền và nghĩa vụ quy định tại khoản 1 Điều này.",,1,1,0,1,
doc_chuong-iii_muc-2_dieu-33_khoan-3_p12893,"Tổ chức trong nước được Nhà nước giao đất có thu tiền sử dụng đất, cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê nhưng được miễn, giảm tiền sử dụng đất, tiền thuê đất thì có các quyền và nghĩa vụ theo quy định sau đây:",,1,0,0,0,
doc_chuong-iii_muc-2_dieu-33_khoan-3_diem-a_p13127,"Trường hợp được Nhà nước giao đất để thực hiện dự án đầu tư xây dựng nhà ở xã hội, nhà ở cho lực lượng vũ trang nhân dân, dự án đầu tư cải tạo, xây dựng lại nhà chung cư mà được miễn hoặc giảm tiền sử dụng đất thì có quyền và nghĩa vụ như trường hợp không được miễn hoặc không được giảm tiền sử dụng đất;",,1,0,0,0,
doc_chuong-iii_muc-2_dieu-33_khoan-3_diem-b_p13433,"Tổ chức trong nước được Nhà nước giao đất có thu tiền sử dụng đất, cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê để thực hiện dự án đầu tư có mục đích kinh doanh mà được miễn, giảm tiền sử dụng đất, tiền thuê đất thì có quyền và nghĩa vụ như trường hợp không được miễn hoặc không được giảm tiền sử dụng đất, tiền thuê đất; trường hợp chuyển nhượng, góp vốn bằng quyền sử dụng đất thì phải nộp cho Nhà nước một khoản tiền tương ứng với số tiền sử dụng đất, tiền thuê đất đã được miễn, giảm tại thời điểm giao đất, cho thuê đất, cho phép chuyển mục đích sử dụng đất, trừ trường hợp pháp luật có liên quan có quy định khác.",,1,1,0,1,
doc_chuong-iii_muc-2_dieu-34_p14069,,,0,0,1,1,
doc_chuong-iii_muc-2_dieu-34_khoan-1_p14245,"Tổ chức kinh tế, tổ chức tôn giáo, tổ chức tôn giáo trực thuộc được Nhà nước cho thuê đất thu tiền thuê đất hằng năm có các quyền và nghĩa vụ sau đây:",,0,0,0,0,
doc_chuong-iii_muc-2_dieu-34_khoan-1_diem-a_p14396,Quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này;,,1,1,1,1,
doc_chuong-iii_muc-2_dieu-34_khoan-1_diem-b_p14466,"Thế chấp tài sản thuộc sở hữu của mình gắn liền với đất tại các tổ chức tín dụng được phép hoạt động tại Việt Nam, tại tổ chức kinh tế khác hoặc cá nhân theo quy định của pháp luật;",,1,0,1,1,
doc_chuong-iii_muc-2_dieu-34_khoan-1_diem-c_p14648,"Bán tài sản thuộc sở hữu của mình gắn liền với đất, bán tài sản thuộc sở hữu của mình gắn liền với đất và quyền thuê trong hợp đồng thuê đất khi đáp ứng điều kiện quy định tại Điều 46 của Luật này. Người mua tài sản gắn liền với đất và quyền thuê trong hợp đồng thuê đất được tiếp tục thuê đất theo mục đích đã được xác định và thời hạn sử dụng đất còn lại, được kế thừa các quyền và nghĩa vụ của người sử dụng đất theo quy định của Luật này và quy định khác của pháp luật có liên quan;",,1,1,0,1,
doc_chuong-iii_muc-2_dieu-34_khoan-1_diem-d_p15135,Góp vốn bằng tài sản thuộc sở hữu của mình gắn liền với đất trong thời hạn thuê đất; người nhận góp vốn bằng tài sản được Nhà nước tiếp tục cho thuê đất theo mục đích đã được xác định trong thời hạn còn lại;,,0,0,0,0,
doc_chuong-iii_muc-2_dieu-34_khoan-1_diem-d_p15343,Cho thuê tài sản thuộc sở hữu của mình gắn liền với đất và quyền thuê trong hợp đồng thuê đất;,,0,0,0,0,
doc_chuong-iii_muc-2_dieu-34_khoan-1_diem-d_p15442,"Cho thuê lại quyền sử dụng đất theo hình thức trả tiền thuê đất hằng năm đối với đất đã được xây dựng xong kết cấu hạ tầng trong trường hợp được phép đầu tư xây dựng kinh doanh kết cấu hạ tầng đối với đất khu công nghiệp, cụm công nghiệp, khu công nghệ cao; người thuê lại quyền sử dụng đất phải sử dụng đất đúng mục đích và thực hiện nghĩa vụ tài chính theo quy định của pháp luật.",,1,0,0,0,
doc_chuong-iii_muc-2_dieu-34_khoan-2_p15825,"Đơn vị sự nghiệp công lập được Nhà nước cho thuê đất thu tiền thuê đất hằng năm không thuộc trường hợp sử dụng đất để đầu tư xây dựng kinh doanh kết cấu hạ tầng khu công nghiệp, cụm công nghiệp quy định tại khoản 2 Điều 202 của Luật này thì có quyền và nghĩa vụ quy định tại khoản 1 Điều này, trừ quyền bán, quyền thế chấp và quyền góp vốn bằng tài sản gắn liền với đất và quyền thuê trong hợp đồng thuê đất. Việc khai thác, sử dụng quỹ đất đã được Nhà nước cho thuê đất kết hợp vào mục đích khác thực hiện theo quy định sau đây:",,1,1,0,1,
doc_chuong-iii_muc-2_dieu-34_khoan-2_diem-a_p16355,"Đối với đất đơn vị sự nghiệp công lập được Nhà nước cho thuê đất thì được phép chủ động khai thác, sử dụng kết hợp đa mục đích theo phương án được cơ quan chủ quản phê duyệt phù hợp với quy định của Luật này và pháp luật có liên quan; trường hợp có đầu tư xây dựng công trình trên đất phải phù hợp với pháp luật về xây dựng. Việc khai thác, sử dụng đất kết hợp đa mục đích phải được hạch toán theo quy định của pháp luật;",,1,0,0,0,
doc_chuong-iii_muc-2_dieu-34_khoan-2_diem-b_p16777,"Đối với đất do đơn vị sự nghiệp công lập đang sử dụng mà có nhu cầu cho thuê, liên doanh, liên kết với tổ chức kinh tế thì phải có đề án sử dụng tài sản công vào mục đích cho thuê, liên doanh, liên kết được cấp có thẩm quyền phê duyệt theo quy định của pháp luật về quản lý, sử dụng tài sản công.",,1,0,0,0,
doc_chuong-iii_muc-2_dieu-34_khoan-3_p17074,"Tổ chức kinh tế, đơn vị sự nghiệp công lập sử dụng đất thuê của tổ chức, cá nhân ngoài khu công nghiệp, cụm công nghiệp, khu công nghệ cao thì có các quyền và nghĩa vụ theo quy định của pháp luật về dân sự.",,1,0,0,0,
doc_chuong-iii_muc-2_dieu-35_p17281,,,0,0,1,1,
doc_chuong-iii_muc-2_dieu-35_khoan-1_p17394,"Tổ chức kinh tế nhận chuyển nhượng quyền sử dụng đất, chuyển mục đích sử dụng đất có quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này.",,1,1,0,1,
doc_chuong-iii_muc-2_dieu-35_khoan-2_p17549,Tổ chức kinh tế nhận chuyển nhượng quyền sử dụng đất có nguồn gốc do được Nhà nước giao có thu tiền sử dụng đất hoặc Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê thì có quyền và nghĩa vụ quy định tại khoản 1 và khoản 3 Điều 33 của Luật này.,,1,1,0,1,
doc_chuong-iii_muc-2_dieu-35_khoan-3_p17816,Tổ chức kinh tế nhận chuyển nhượng quyền sử dụng đất nông nghiệp theo quy định của pháp luật thì có các quyền và nghĩa vụ sau đây:,,1,0,0,0,
doc_chuong-iii_muc-2_dieu-35_khoan-3_diem-a_p17947,Trường hợp nhận chuyển nhượng và không chuyển mục đích sử dụng đất thì có quyền và nghĩa vụ quy định tại khoản 1 và khoản 3 Điều 33 của Luật này;,,1,1,0,1,
doc_chuong-iii_muc-2_dieu-35_khoan-3_diem-b_p18093,Trường hợp nhận chuyển nhượng và chuyển mục đích sử dụng đất mà thuộc trường hợp được Nhà nước giao đất có thu tiền sử dụng đất hoặc cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê thì có quyền và nghĩa vụ quy định tại khoản 1 và khoản 3 Điều 33 của Luật này;,,1,1,0,1,
doc_chuong-iii_muc-2_dieu-35_khoan-3_diem-c_p18366,Trường hợp nhận chuyển nhượng và chuyển mục đích sử dụng đất mà thuộc trường hợp được Nhà nước cho thuê đất thu tiền thuê đất hằng năm thì có quyền và nghĩa vụ quy định tại khoản 1 Điều 34 của Luật này.,,1,1,0,1,
doc_chuong-iii_muc-2_dieu-35_khoan-4_p18569,Quyền và nghĩa vụ của tổ chức kinh tế sử dụng đất được cơ quan nhà nước có thẩm quyền cho phép chuyển mục đích sử dụng đất từ đất không thu tiền sử dụng đất sang đất có thu tiền sử dụng đất hoặc cho thuê đất được quy định như sau:,,0,0,0,0,
doc_chuong-iii_muc-2_dieu-35_khoan-4_diem-a_p18800,Trường hợp thuộc hình thức Nhà nước giao đất có thu tiền sử dụng đất hoặc cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê thì có quyền và nghĩa vụ quy định tại khoản 1 và khoản 3 Điều 33 của Luật này;,,1,1,0,1,
doc_chuong-iii_muc-2_dieu-35_khoan-4_diem-b_p19014,Trường hợp thuộc hình thức Nhà nước cho thuê đất thu tiền thuê đất hằng năm thì có quyền và nghĩa vụ quy định tại khoản 1 Điều 34 của Luật này.,,1,1,0,1,
doc_chuong-iii_muc-2_dieu-36_p19158,,,0,0,1,1,
doc_chuong-iii_muc-2_dieu-36_khoan-1_p19302,"Tổ chức kinh tế nhận góp vốn bằng quyền sử dụng đất của cá nhân, tổ chức kinh tế khác thì có quyền và nghĩa vụ quy định tại Điều 33 của Luật này trong các trường hợp sau đây:",,1,1,0,1,
doc_chuong-iii_muc-2_dieu-36_khoan-1_diem-a_p19477,"Đất của tổ chức kinh tế góp vốn có nguồn gốc do được Nhà nước giao có thu tiền sử dụng đất hoặc được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê, do nhận chuyển nhượng quyền sử dụng đất;",,0,0,0,0,
doc_chuong-iii_muc-2_dieu-36_khoan-1_diem-b_p19690,Đất của cá nhân góp vốn mà không phải là đất được Nhà nước cho thuê thu tiền thuê đất hằng năm.,,0,0,0,0,
