node_id,text,is_semantic,note
doc_chuong-iii_muc-4_dieu-41_khoan-2_diem-c_p28899,Góp vốn bằng tài sản thuộc sở hữu của mình gắn liền với đất trong thời hạn thuê đất; người nhận góp vốn bằng tài sản được Nhà nước tiếp tục cho thuê đất theo đúng mục đích đã được xác định trong thời hạn còn lại;,0,AI Annotated
doc_chuong-iii_muc-1_dieu-28_khoan-1_diem-b_p3646,"Tổ chức kinh tế, cá nhân được nhận chuyển nhượng quyền sử dụng đất;",0,AI Annotated
doc_chuong-iii_muc-4_dieu-42_p31453,,0,AI Annotated
doc_chuong-iii_muc-3_dieu-37_khoan-2_diem-a_p23477,Quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này;,1,AI Annotated
doc_chuong-iii_muc-1_dieu-26_khoan-8_p893,"Khiếu nại, tố cáo, khởi kiện về những hành vi vi phạm quyền sử dụng đất hợp pháp của mình và những hành vi khác vi phạm pháp luật về đất đai.",0,AI Annotated
doc_chuong-iii_muc-1_dieu-26_khoan-7_p803,"Được bồi thường, hỗ trợ, tái định cư khi Nhà nước thu hồi đất theo quy định của Luật này.",1,AI Annotated
doc_chuong-iii_muc-1_dieu-28_khoan-1_diem-c_p3714,"Tổ chức kinh tế có vốn đầu tư nước ngoài, người gốc Việt Nam định cư ở nước ngoài được phép nhập cảnh vào Việt Nam được nhận chuyển nhượng quyền sử dụng đất trong khu công nghiệp, cụm công nghiệp, khu công nghệ cao;",0,AI Annotated
doc_chuong-iii_muc-2_dieu-33_p11077,,0,AI Annotated
doc_chuong-iii_muc-2_dieu-33_khoan-1_diem-c_p11543,"Cho thuê quyền sử dụng đất, tài sản thuộc sở hữu của mình gắn liền với đất đối với trường hợp được Nhà nước giao đất có thu tiền sử dụng đất; cho thuê lại quyền sử dụng đất, tài sản thuộc sở hữu của mình gắn liền với đất đối với trường hợp được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê;",1,AI Annotated
doc_chuong-iii_muc-4_dieu-40_khoan-1_diem-a_p27536,Quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này;,1,AI Annotated
doc_chuong-iii_muc-4_dieu-42_khoan-2_diem-a_p32028,Quyền và nghĩa vụ quy định tại khoản 2 Điều 41 của Luật này đối với trường hợp quyền sử dụng đất do nhận góp vốn trước đó không thuộc trường hợp được sử dụng để thực hiện các dự án đầu tư nhà ở để bán và tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất hằng năm theo quy định của Luật này;,1,AI Annotated
doc_chuong-iii_muc-5_dieu-48_khoan-2_p46774,"Cá nhân là người dân tộc thiểu số được Nhà nước giao đất, cho thuê đất theo quy định tại khoản 3 Điều 16 của Luật này thì được thế chấp quyền sử dụng đất tại ngân hàng chính sách.",1,AI Annotated
doc_chuong-iii_muc-4_dieu-41_khoan-3_p30039,"Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê; tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước giao đất có thu tiền sử dụng đất để thực hiện dự án có các quyền và nghĩa vụ sau đây:",0,AI Annotated
doc_chuong-iii_muc-1_dieu-31_khoan-6_p10241,Tuân thủ quy định của pháp luật về việc tìm thấy vật trong lòng đất.,1,AI Annotated
doc_chuong-iii_muc-5_dieu-45_khoan-2_p39738,"Trường hợp chủ đầu tư chuyển nhượng quyền sử dụng đất đã có hạ tầng kỹ thuật trong dự án bất động sản thì ngoài các điều kiện quy định tại khoản 1 Điều này còn phải đáp ứng điều kiện khác theo quy định của Luật Kinh doanh bất động sản, Luật Nhà ở.",1,AI Annotated
doc_chuong-iii_muc-4_dieu-44_khoan-2_diem-a_p35046,Quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này;,1,AI Annotated
doc_chuong-iii_muc-5_dieu-45_khoan-1_diem-b_p39292,"Đất không có tranh chấp hoặc tranh chấp đã được giải quyết bởi cơ quan nhà nước có thẩm quyền, bản án, quyết định của Tòa án, quyết định hoặc phán quyết của Trọng tài đã có hiệu lực pháp luật;",0,AI Annotated
doc_chuong-iii_muc-5_dieu-46_khoan-1_diem-b_p43672,"Đã hoàn thành việc xây dựng theo đúng quy hoạch xây dựng chi tiết và dự án đầu tư đã được phê duyệt, chấp thuận (nếu có), trừ trường hợp phải thực hiện theo bản án, quyết định của Tòa án đã có hiệu lực thi hành, quyết định cưỡng chế của cơ quan thi hành án dân sự hoặc kết luận của cơ quan nhà nước có thẩm quyền về thanh tra, kiểm tra.",1,AI Annotated
doc_chuong-iii_muc-3_dieu-37_khoan-2_p23381,Cá nhân được Nhà nước cho thuê đất thu tiền thuê đất hằng năm có các quyền và nghĩa vụ sau đây:,0,AI Annotated
doc_chuong-iii_muc-2_dieu-33_khoan-1_p11236,"Tổ chức kinh tế được Nhà nước giao đất có thu tiền sử dụng đất, cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê có quyền và nghĩa vụ sau đây:",0,AI Annotated
doc_chuong-iii_muc-3_dieu-37_khoan-3_p24870,"Cá nhân thuê lại đất trong khu công nghiệp, cụm công nghiệp, khu công nghệ cao thì có các quyền và nghĩa vụ sau đây:",0,AI Annotated
doc_chuong-iii_muc-4_dieu-41_khoan-5_p31108,"Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài sử dụng đất để thực hiện các dự án đầu tư tại Việt Nam được Nhà nước
giao đất, cho thuê đất trả tiền thuê đất một lần cho cả thời gian thuê nhưng được miễn, giảm tiền sử dụng đất, tiền thuê đất thì có quyền và nghĩa vụ quy định tại khoản 3 Điều 33 của Luật này.",1,AI Annotated
doc_chuong-iii_muc-2_dieu-34_khoan-1_diem-c_p14648,"Bán tài sản thuộc sở hữu của mình gắn liền với đất, bán tài sản thuộc sở hữu của mình gắn liền với đất và quyền thuê trong hợp đồng thuê đất khi đáp ứng điều kiện quy định tại Điều 46 của Luật này. Người mua tài sản gắn liền với đất và quyền thuê trong hợp đồng thuê đất được tiếp tục thuê đất theo mục đích đã được xác định và thời hạn sử dụng đất còn lại, được kế thừa các quyền và nghĩa vụ của người sử dụng đất theo quy định của Luật này và quy định khác của pháp luật có liên quan;",1,AI Annotated
doc_chuong-iii_muc-1_dieu-26_khoan-1_p223,"Được cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất khi có đủ điều kiện theo quy định của pháp luật về đất đai.",1,AI Annotated
doc_chuong-iii_muc-1_dieu-30_p8119,,0,AI Annotated
doc_chuong-iii_muc-5_dieu-45_khoan-1_diem-a_p38784,"Có Giấy chứng nhận quyền sử dụng đất hoặc Giấy chứng nhận quyền sở hữu nhà ở và quyền sử dụng đất ở hoặc Giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất hoặc Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất, trừ trường hợp thừa kế quyền sử dụng đất, chuyển đổi đất nông nghiệp khi dồn điền, đổi thửa, tặng cho quyền sử dụng đất cho Nhà nước, cộng đồng dân cư và trường hợp quy định tại khoản 7 Điều 124 và điểm a khoản 4 Điều 127 của Luật này;",1,AI Annotated
doc_chuong-iii_muc-5_dieu-46_p43205,,0,AI Annotated
doc_chuong-iii_muc-2_dieu-35_khoan-4_diem-a_p18800,Trường hợp thuộc hình thức Nhà nước giao đất có thu tiền sử dụng đất hoặc cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê thì có quyền và nghĩa vụ quy định tại khoản 1 và khoản 3 Điều 33 của Luật này;,1,AI Annotated
doc_chuong-iii_muc-5_dieu-45_khoan-1_diem-d_p39615,Trong thời hạn sử dụng đất;,0,AI Annotated
doc_chuong-iii_muc-1_dieu-29_khoan-2_p7834,"Việc xác lập, thay đổi hoặc chấm dứt quyền đối với thửa đất liền kề thực hiện theo quy định của pháp luật về dân sự; đồng thời phải thực hiện đăng ký theo quy định tại Điều 133 của Luật này đối với trường hợp quyền về lối đi; cấp nước, thoát nước; tưới nước, tiêu nước trong canh tác.",1,AI Annotated
doc_chuong-iii_muc-5_dieu-45_khoan-8_p42362,"Các trường hợp không được nhận chuyển nhượng, nhận tặng cho quyền sử dụng đất quy định như sau:",1,AI Annotated
doc_chuong-iii_muc-2_dieu-35_khoan-4_p18569,Quyền và nghĩa vụ của tổ chức kinh tế sử dụng đất được cơ quan nhà nước có thẩm quyền cho phép chuyển mục đích sử dụng đất từ đất không thu tiền sử dụng đất sang đất có thu tiền sử dụng đất hoặc cho thuê đất được quy định như sau:,0,AI Annotated
doc_chuong-iii_muc-5_dieu-46_khoan-2_diem-b_p44317,"Đã ứng trước tiền bồi thường, hỗ trợ, tái định cư mà chưa khấu trừ hết vào tiền thuê đất phải nộp.",0,AI Annotated
doc_chuong-iii_muc-5_dieu-45_khoan-8_diem-a_p42458,"Tổ chức kinh tế không được nhận chuyển nhượng quyền sử dụng đất rừng phòng hộ, đất rừng đặc dụng của cá nhân, trừ trường hợp được chuyển mục đích sử dụng đất theo quy hoạch, kế hoạch sử dụng đất đã được cơ quan có thẩm quyền phê duyệt;",1,AI Annotated
doc_chuong-iii_muc-3_dieu-37_p21250,,0,AI Annotated
doc_chuong-iii_muc-1_dieu-28_khoan-1_diem-d_p3930,Tổ chức kinh tế có vốn đầu tư nước ngoài được nhận chuyển nhượng vốn đầu tư là giá trị quyền sử dụng đất theo quy định của Chính phủ;,1,AI Annotated
doc_chuong-iii_muc-2_dieu-36_khoan-1_diem-a_p19477,"Đất của tổ chức kinh tế góp vốn có nguồn gốc do được Nhà nước giao có thu tiền sử dụng đất hoặc được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê, do nhận chuyển nhượng quyền sử dụng đất;",0,AI Annotated
doc_chuong-iii_muc-2_dieu-35_khoan-4_diem-b_p19014,Trường hợp thuộc hình thức Nhà nước cho thuê đất thu tiền thuê đất hằng năm thì có quyền và nghĩa vụ quy định tại khoản 1 Điều 34 của Luật này.,1,AI Annotated
